"ID"	Library_1	Library_10	Library_11	Library_12	Library_2	Library_3	Library_4	Library_5	Library_6	Library_7	Library_8	Library_9
ABCA7	4.27235	4.93071	2.25728	2.21102	4.25098	4.80043	4.09425	5.31059	4.70977	4.96704	5.76362	5.02996
ABCA8	0.0101162	0	0	0.0139008	0.0066913	0.00455976	0.0441889	0.00429098	0.00755559	0.00500835	0	0.0117227
ABCA9	0.00612225	0.0262062	0.0621682	0.0694045	0.0242973	0.0248359	0.0445715	0.00779063	0.0240062	0.0272793	0.0449075	0.0372461
ABCB1	1.96685	1.19747	1.47595	1.58572	1.55018	1.58765	1.31722	1.3638	1.51235	1.29441	1.16407	1.13747
ABCB10	8.99136	4.71951	3.7858	3.67979	7.4005	7.78232	7.80735	9.04591	8.98092	8.6678	8.14058	3.76384
ABCB11	0.0080788	0	0	0.0083259	0	0.00546216	0	0.0154206	0.00452973	0	0	0.00702133
ABCB4	0.0149919	0	0.0156139	0	0.0297491	0.00675747	0.00727634	0.00635914	0.0223945	0	0.0146624	0.00868639
ABCB5	0.0374067	0.0377427	0.0520139	0.035386	0.0174967	0.0291763	0.0416275	0.00454441	0.0125342	0.00654802	0.0164131	0.00766323
ABCB6	7.60419	5.39112	10.8919	11.5705	6.97019	11.6485	11.2308	8.14258	7.83265	17.3166	15.6989	5.47647
ABCB7	6.72082	8.12668	6.55455	6.18109	6.03226	5.91017	6.65088	6.28926	6.63913	5.95761	5.50358	7.31229
ABCB8	3.09379	3.05518	1.42201	1.40076	2.96681	3.55935	3.32384	4.12465	3.63284	3.7914	3.75256	2.64021
ABCB9	1.91392	1.47478	1.36296	1.39682	1.85179	2.67897	1.37421	2.34928	2.02802	2.39575	2.46663	1.49824
ABCC1	5.38965	4.78644	6.68393	8.48437	6.26445	7.3373	7.39436	5.50349	6.01994	8.13847	8.21888	4.32821
ABCC10	2.21497	1.94899	1.64403	1.56669	1.89631	1.92033	1.86716	2.14442	1.74673	2.55589	2.62094	1.6424
ABCC11	0.0472421	0.194494	0.214699	0.209304	0.0681777	0.0580743	0.0812935	0.0273255	0.0518175	0.0255151	0.0882069	0.241548
ABCC12	0.00373223	0.0127806	0.0116612	0.030771	0	0.00504679	0.0108686	0	0.00418131	0	0	0.00648739
ABCC13	0.00683008	0	0.0320104	0.0281559	0.0135532	0.0277073	0.0397797	0.0260741	0.0459115	0.0101444	0.0400796	0
ABCC2	0.179478	0.0261533	0.173027	0.188903	0.0530429	0.191057	0.155685	0.111764	0.136901	0.124777	0.123246	0.0531013
ABCC3	0.022402	0.0319639	0.0639418	0.0592729	0.0148177	0.0302925	0.0595957	0.0190045	0.0292805	0.0911866	0.027387	0.0584092
ABCC4	6.54205	4.41072	3.98761	3.84782	5.37603	5.80491	5.92985	6.85553	6.41191	5.65341	5.06267	4.11794
ABCC5	7.3833	7.10051	7.38441	7.43486	7.93909	8.57702	8.48561	6.60636	6.48161	8.37943	7.7618	6.38728
ABCC6	1.34679	2.2904	1.97433	1.40724	1.48447	2.07164	1.39131	0.98632	1.67917	1.06977	0.863395	2.42165
ABCC6P1	0.410687	0.87291	0.929254	0.846497	0.281015	0.344694	0.340231	0.21625	0.230052	0.326021	0.186986	0.89848
ABCC6P2	0.191242	0.421	0.213403	0.281953	0.325277	0.295545	0.238678	0.104296	0.275469	0.0811552	0.120239	0.569862
ABCC8	0.0193734	0.0265368	0.145275	0.151741	0.0307547	0.0157183	0.0169252	0	0.0086818	0.0172646	0.00568426	0.0942901
ABCC9	0.0546575	0.071988	0.128241	0.165966	0.028919	0.0568531	0.0734622	0.0321011	0.0565239	0.0655591	0.03084	0.066421
ABCD1	0.700365	0.793179	1.15135	1.00959	0.62677	0.932596	0.804823	0.730168	0.642844	1.18093	1.32987	0.778314
ABCD2	0.075838	0.0803831	0.0338503	0.0297743	0.0644951	0.0244166	0.0420663	0.0229773	0.0202294	0.00536375	0.0105959	0.0439408
ABCD3	9.75736	6.47548	6.50078	6.10027	8.52609	7.89445	8.26979	8.09456	8.90815	8.49418	7.15344	6.05368
ABCD4	1.19126	1.92216	1.81628	2.47318	1.70129	1.0743	1.19665	1.40939	1.4737	1.23571	1.4963	2.16699
ABCE1	38.2496	21.5534	15.8992	15.9107	33.0182	30.0756	31.9452	33.713	36.348	27.6059	25.7847	22.4461
ABCF1	20.3635	9.51882	13.1701	13.2787	21.3736	24.6231	21.2988	21.2726	21.3909	25.2124	24.3277	8.81422
ABCF2	27.3998	15.7332	14.8098	12.7187	27.9579	32.4788	29.2947	34.6728	36.2465	29.9469	31.0362	17.0975
ABCF3	10.3339	7.69157	7.57776	6.36655	8.04742	11.3205	9.86333	13.1625	11.8933	12.0093	12.8093	6.6097
ABCG1	0.0130893	0.0222263	0.314666	0.306606	0.0518053	0.0516579	0.0472529	0.024778	0.0146192	0	0.0272166	0.03441
ABCG2	0.326575	0.298128	0.258414	0.143557	0.431892	0.294311	0.329585	0.299119	0.243839	0.187494	0.146877	0.189161
ABCG4	0.102226	0.319168	0.0998443	0.153688	0.126822	0.0792207	0.0586175	0.0948829	0.0537229	0.0791041	0.109387	0.237557
ABCG5	0.00703947	0	0	0	0.0419061	0	0	0.0179156	0	0	0.0103271	0.0122361
ABCG8	0	0.0123922	0.0113067	0	0	0.0097868	0.0105383	0	0	0	0	0
ABHD1	0.0400169	0.319745	0.708508	0.357421	0.026469	0.0901861	0.0582666	0.0678959	0.014944	0.079247	0.0587059	0.231859
ABHD10	10.3296	8.97506	10.6603	10.0811	7.04964	7.53717	8.20262	9.49653	8.87947	8.09959	7.48148	9.73848
ABHD11	3.84866	3.39529	1.50167	1.48065	3.98658	4.05143	3.43916	5.16338	4.86532	4.16177	4.3753	2.92285
ABHD12	4.5966	4.29322	5.27697	6.05504	5.17142	5.28008	5.01	4.76435	5.31654	5.54777	5.5693	3.96961
ABHD12B	0	0.0223079	0	0	0	0	0.0189706	0.0165793	0	0	0	0
ABHD13	1.92551	1.46377	1.69928	1.70212	1.58814	1.4663	1.57858	1.53715	1.48589	1.56167	1.44352	1.4291
ABHD14A	2.01421	2.90882	5.65951	6.07742	1.57787	3.00878	2.13629	1.59658	2.176	3.44281	3.63745	2.59185
ABHD14A-ACY1	1.27918	2.62999	1.51053	0.453369	0.373955	0.0271755	1.71879	1.89217	0.672821	1.69916	0.711841	2.1704
ABHD14B	6.83267	18.3133	18.9396	18.4263	5.30503	7.97678	7.10302	7.85001	7.57694	10.7997	9.36603	18.9772
ABHD15	1.78817	2.13605	2.41598	2.59812	1.47165	1.34527	1.47328	1.54363	1.58491	2.03935	2.08321	2.40834
ABHD16A	4.32311	6.58982	4.45698	5.15306	4.24686	4.55337	3.99686	4.6187	4.23829	5.21063	5.61098	7.05956
ABHD16B	0.0108604	0.0185952	0	0	0	0.0440571	0.0158133	0	0	0	0	0
ABHD2	3.59736	2.8412	2.63737	2.96447	3.97982	3.45526	3.13521	3.51712	3.67547	2.81868	2.99475	2.73002
ABHD3	5.27602	3.33223	3.30507	3.3571	4.10798	3.98051	4.56541	4.51226	5.14456	4.20556	3.23547	2.98883
ABHD4	2.68139	5.5746	7.50791	7.6329	2.63908	3.27678	2.91712	2.05188	2.50214	3.34882	4.05365	4.46097
ABHD5	4.63719	1.94338	1.98834	2.36175	3.91342	3.03613	3.06452	3.53789	3.8538	2.82901	2.80519	1.95163
ABHD6	2.69302	2.03101	3.38876	3.15657	2.12724	2.11445	1.93681	2.43215	2.30333	2.19462	1.97471	2.36776
ABHD8	1.49524	3.08129	3.54669	3.06322	1.30023	2.10901	1.98876	1.60889	1.59689	2.22373	2.66788	3.21012
ABI1	8.23035	9.5256	12.4073	11.5368	6.9578	7.56253	7.53038	6.75621	7.90003	7.89354	8.77147	8.74859
ABI2	11.0567	13.8608	11.6768	12.837	13.5374	10.6998	11.0687	11.2547	11.7005	12.1673	11.4693	13.9223
ABI3	0.00919314	0.0157405	0.0430853	0.0189487	0.0182423	0	0.0133857	0.0116984	0	0	0	0.0159796
ABI3BP	0.00862425	0	0.00673652	0.0355521	0.00855673	0.0233238	0.150688	0.0109745	0.00483098	0.0064046	0.00632601	0.0149908
ABL1	6.65243	7.24346	6.48315	7.7539	8.88016	8.82053	7.63778	7.20303	7.92201	6.79577	8.23382	6.69451
ABL2	5.8684	7.387	5.83046	6.76117	6.48264	5.41329	5.80003	6.17721	6.76883	5.57045	5.9789	6.64395
ABLIM1	13.8867	12.3784	12.163	12.9921	14.3832	15.623	15.7087	12.9735	13.3066	12.5149	12.5648	12.1753
ABLIM2	0.0198737	0.076892	0.0895868	0.145652	0.040888	0.060726	0.0108981	0	0.0167707	0.0444668	0.0824019	0.124733
ABLIM3	0	0.0838007	0.0625587	0.201761	0.00882912	0.0180497	0	0.0226476	0.0199391	0	0.0456917	0.030936
ABO	0	0	0.0190832	0	0	0	0.0177862	0.0155443	0.0136852	0	0.0179203	0
ABP1	0.0158881	0.0136018	0.0124104	0	0.0157637	0.0214842	0.0231338	0.0101089	0.00889992	0.0353968	0	0
ABR	5.4283	4.66943	3.68024	4.56206	4.65663	4.79596	4.31741	4.51374	4.36295	5.12755	4.99452	4.71099
ABRA	0.00700368	0.0239834	0	0	0	0	0	0.00891226	0.0078464	0.0104022	0.0205492	0
ABT1	8.10825	5.25181	6.68084	6.42025	5.38285	9.40228	8.06419	8.94774	9.15055	9.68238	9.83766	4.38311
ABTB1	0.436924	2.6863	2.73983	2.87738	0.406763	0.413019	0.515551	0.351059	0.449783	0.731697	0.737173	2.43248
ABTB2	0.511688	0.269558	0.608897	0.575706	0.382508	0.420246	0.481553	0.460551	0.418694	0.672643	0.502117	0.232493
ACAA1	5.56662	6.73337	7.15198	6.82795	4.91965	6.86665	6.3786	7.07202	7.60659	7.40239	6.70955	6.1178
ACAA2	12.8666	19.8644	19.0063	20.8231	14.5763	15.9119	15.0188	14.2716	16.0206	15.8419	15.007	22.3898
ACACA	23.1014	23.5635	10.4541	11.1389	21.7609	22.2816	21.2363	23.7362	24.1529	20.7057	21.1106	22.1744
ACACB	0.761303	0.978363	1.11421	1.02369	0.525552	0.857269	0.795562	0.591822	0.554659	0.792956	0.915662	0.924361
ACAD10	1.67314	3.93447	2.85994	3.29599	1.80161	2.09686	1.8054	1.60071	1.73621	1.82516	1.97416	3.0416
ACAD11	1.97057	6.50935	7.11095	7.09412	1.50756	2.58586	2.29102	1.86327	1.8547	3.0309	2.69454	6.80441
ACAD8	5.63806	4.95464	3.50914	3.41906	4.956	5.41125	5.29982	6.34957	5.43295	5.63068	5.66953	5.42279
ACAD9	11.8193	7.14158	4.26599	4.26279	9.78632	12.6866	9.97115	11.7736	11.3144	11.1668	11.3119	7.00474
ACADL	0.278865	0.34484	0.217825	0.335349	0.292052	0.199018	0.10151	0.177429	0.208279	0.161072	0.0568197	0.417403
ACADM	21.2785	20.9077	16.9213	16.0625	20.9953	20.8408	20.4425	21.8211	21.738	20.4126	18.8111	23.0223
ACADS	1.05701	3.51818	2.56676	2.61308	0.71882	1.49758	1.43909	1.00063	1.31886	1.6289	2.02454	2.39757
ACADSB	4.24545	3.37984	3.14167	3.41377	3.55043	3.49309	3.83711	4.17232	3.95855	3.31187	3.36985	3.34084
ACADVL	25.0703	29.823	29.7571	28.2211	22.0206	26.7054	23.57	20.4476	19.4326	25.9758	25.3354	28.1087
ACAN	0.00872767	0	0	0.0138869	0.00445643	0.00607364	0.111564	0.00857342	0.00733337	0.00667116	0.0164733	0.00390367
ACAP1	0.0461439	0.342365	0.624756	0.538959	0.16787	0.0415978	0.134376	0.0978643	0.0516962	0.365522	0.225648	0.280727
ACAP2	9.89681	15.0988	13.9708	12.9405	8.96165	9.63032	10.1269	9.40329	9.8874	8.89859	8.72285	15.6555
ACAP3	3.48365	1.81898	2.66938	2.94139	3.14629	4.04925	3.19351	3.98965	3.95712	4.77654	5.13471	1.68576
ACAT1	18.0166	24.2307	23.3888	21.557	13.37	16.0435	16.3172	19.23	18.684	19.6127	19.5462	23.3687
ACAT2	27.744	17.2413	8.07871	8.26419	22.9468	29.1042	26.8947	33.3709	31.2661	28.3742	30.0631	17.5614
ACBD3	10.8344	9.91695	11.3324	10.8595	9.42781	10.4403	11.5087	10.828	11.7101	10.6539	10.0986	9.64585
ACBD4	1.62641	5.93115	3.67552	3.07398	1.15893	1.64033	1.7216	1.37231	1.73761	2.08331	2.30684	4.96281
ACBD5	9.52904	10.351	15.7825	15.3557	8.9865	10.221	11.2099	9.43147	10.0036	10.6588	9.80736	10.3995
ACBD6	13.9568	17.4687	15.9975	14.4722	12.553	14.9073	15.0171	16.6153	15.5122	15.1675	16.607	17.936
ACBD7	0.789841	2.46284	2.26252	1.84035	0.795014	0.55033	0.825113	0.815718	0.539109	0.909588	0.915495	2.14891
ACCN1	0.0071703	0	0	0.0462013	0	0.00969584	0.0163187	0	0.00627803	0.016646	0.0164417	0.0292215
ACCN2	1.28198	2.65084	1.56332	1.57969	1.26385	1.72494	1.54002	1.88863	1.77717	2.09245	1.64926	2.34565
ACCN3	0.0475694	0.36753	0.481339	0.451024	0.0566363	0.128649	0.124674	0.166298	0.167404	0.226088	0.209357	0.355368
ACCN4	0.00674548	0.0115496	0.311646	0.208554	0	0.0182428	0	0.0171674	0.0151143	0.0300562	0	0.0351752
ACCN5	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	0	0.0151979	0.0160518	0	0.0203891	0	0	0	0.0198886	0.0152609	0	0
ACCSL	0	0	0	0	0	0	0	0	0	0.0157405	0.0155474	0
ACD	10.0802	5.99856	4.65869	4.70175	9.46481	10.9726	8.6473	11.1757	10.7596	10.8036	10.7615	5.33031
ACE	0.179297	0.451963	0.391595	0.671977	0.225221	0.257239	0.316509	0.202522	0.204322	0.307067	0.273405	0.411709
ACE2	0.0109998	0.0188338	0.0171842	0.0113362	0.0109137	0.00743708	0.00800812	0.020996	0	0.00816874	0	0.0286799
ACER1	0	0	0	0	0.0703571	0	0	0.0225592	0	0	0	0
ACER2	0.615435	0.833733	0.475442	0.627289	0.281823	0.320079	0.413586	0.481951	0.545529	0.703136	0.347254	0.564595
ACER3	4.25333	3.62454	3.70737	3.69633	3.36765	3.32432	3.40395	3.43775	3.66035	3.00387	3.01973	3.44761
ACHE	0.141222	0.734218	1.00056	1.37089	0.277853	0.236695	0.191152	0.135582	0.245111	0.623905	0.45006	0.502354
ACIN1	16.7866	8.72395	8.29415	8.97419	16.108	16.9389	14.9723	20.8314	18.4745	18.4471	20.0919	9.46516
ACLY	75.9209	52.182	30.6827	31.7052	62.8297	75.0178	68.5061	78.7909	82.7599	79.2523	79.5655	46.2453
ACMSD	0	0	0	0	0	0	0.0224676	0	0.0172872	0	0	0
ACN9	8.68732	6.64773	9.25272	8.99508	6.71957	8.21895	9.12698	8.18168	8.33861	8.45464	7.4242	6.98943
ACO1	9.85921	10.0499	13.0063	11.7111	7.34638	9.66797	8.74888	9.64336	9.42155	11.0089	10.3418	9.61845
ACO2	11.6134	13.2557	9.21056	12.905	12.9492	13.5126	12.4541	11.729	13.4527	12.9754	12.9786	11.4134
ACOT1	4.51834	5.4221	5.14464	5.24311	4.41718	5.56513	3.72032	5.10348	4.38111	7.18759	6.22216	6.01041
ACOT11	0.661214	0.487096	1.24141	1.05829	0.569908	1.01721	0.757701	0.810494	0.877008	0.936671	1.36188	0.487315
ACOT12	0.048487	0	0.0454486	0.0399761	0.019243	0.013113	0.0282398	0.0246801	0	0.0144031	0	0.0337123
ACOT13	4.59465	5.59558	5.85357	5.52639	4.30396	5.54994	4.83681	4.86008	4.74633	4.65446	4.3996	6.61008
ACOT2	3.13758	2.95598	2.77973	2.7489	2.88086	2.68941	2.81322	3.06156	2.6924	4.12044	3.49099	2.59942
ACOT4	0.0118187	0	0.110781	0.0730812	0	0.0479445	0.0688345	0.0150394	0	0	0	0
ACOT6	0.0192113	0	0.0900372	0.158391	0	0.0259779	0	0	0	0	0	0
ACOT7	20.5628	13.6232	13.2094	11.9127	18.1331	25.1702	21.9667	24.8812	24.5833	26.5712	26.4413	14.2295
ACOT8	3.0108	5.80971	5.19791	4.75309	2.48412	2.73133	3.03234	4.05165	3.43264	5.01855	3.74544	6.4574
ACOT9	12.3794	14.9545	12.1473	11.6424	10.8061	13.4124	12.8768	13.6186	12.9467	13.8287	13.9661	15.5009
ACOX1	6.12893	5.22089	5.03044	4.99289	5.22516	5.23644	4.94089	5.53876	5.97605	5.7441	5.41201	5.28705
ACOX2	0.00835346	0.0143028	0.03915	0.0172179	0	0.0451829	0	0.0212597	0.0280758	0.024814	0	0
ACOX3	0.941874	1.23086	1.08332	0.972418	1.88534	1.01027	1.12914	1.08178	1.28765	1.18156	1.30381	1.1682
ACOXL	0	0	0	0	0	0.0109911	0.011835	0	0.00910619	0	0.0119242	0
ACP1	25.5379	30.8242	30.6199	26.8121	22.8381	25.3957	22.8118	24.3869	28.4937	25.5156	24.0252	30.3873
ACP2	4.05371	5.34794	3.95587	4.02434	3.77388	3.9908	3.68338	4.17653	4.57455	5.40817	4.85179	4.87029
ACP5	0.0390612	0	0	0	0	0.0176065	0.379169	0	0	0	0.0764052	0
ACP6	6.24214	12.2666	10.3011	10.3173	6.44365	6.00843	5.82689	6.15786	6.36711	6.94677	6.64426	13.8007
ACPL2	0.656413	1.43862	1.25053	1.30348	0.794551	0.687035	0.473085	0.694306	0.900781	0.702434	0.498568	1.15903
ACPP	0.0119839	0.0102594	0.00936081	0.0123505	0.0209492	0.0162049	0.0153719	0	0.0134259	0.0177992	0.0439519	0.0367015
ACPT	0.0143193	0.0245175	0	0	0	0	0	0.0182215	0.0160423	0.0212678	0	0
ACR	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	0.010227	0.105064	0.734938	0.843185	0	0.0553167	0.14891	0	0	0	0.0450099	0.195544
ACRC	0.103178	0.17666	0.331855	0.250196	0.0120435	0.057449	0.212092	0.0772322	0.0815947	0.126202	0.186979	0.210993
ACRV1	0	0	0.0310876	0	0	0	0	0.0759672	0	0	0	0.0345896
ACSBG1	0.110277	0.144389	0	0.0267413	0.0643611	0.0263152	0.0661168	0.0660373	0.0436047	0.0578082	0.0190329	0.0451024
ACSBG2	0.0142243	0	0.0446587	0.0732968	0	0.0192344	0.0103556	0	0	0.0105633	0	0
ACSF2	1.11142	3.65799	3.91339	3.97739	0.700868	0.82707	1.10478	0.986598	1.01337	1.08757	1.21481	3.32423
ACSF3	3.34271	5.03826	4.3613	4.88297	2.6432	3.67429	3.10689	3.79236	4.18247	4.76138	5.56964	4.27925
ACSL1	16.4368	9.56786	8.59539	8.87074	12.8439	13.8775	14.8355	18.2267	17.6865	14.385	13.5778	8.7035
ACSL3	16.8472	23.9816	27.5234	27.0693	14.7541	14.8513	16.591	16.2332	17.2596	19.3584	16.6115	24.2589
ACSL4	11.1317	11.7855	10.5151	10.4996	8.74111	9.71507	9.44612	10.8118	10.3418	9.6891	8.51769	12.5283
ACSL5	0.0297648	0.0305779	0.111598	0.0981606	0.0118127	0.0402486	0.0346712	0.0687083	0.0672117	0.0795749	0.0759291	0.020695
ACSL6	0.039186	0.0713549	0.0743747	0.0931557	0.0598125	0.0523051	0.043341	0.0340765	0.0334221	0.0176771	0.039615	0.0923072
ACSM1	0.0188085	0.0161019	0	0.0193838	0	0.0127166	0	0.011967	0	0.0139677	0	0
ACSM2A	0.0195224	0.0111421	0.0101661	0	0	0.0263986	0.0379008	0.00828083	0.014581	0.00966524	0	0.0113114
ACSM2B	0	0	0	0	0	0	0.0116174	0	0	0	0	0
ACSM3	0.0122933	0.108381	0.0768195	0.329401	0.0975761	0.0665273	0.0536988	0.0345356	0.0413174	0.0547759	0.0180346	0.213683
ACSM4	0.0110661	0	0.0172877	0	0	0	0	0.0140817	0	0	0	0
ACSM5	0.0079736	0	0	0	0	0	0	0	0.00893303	0	0.0116975	0
ACSS1	0.0258728	0.0590657	0.0538921	0.0355521	0.0171135	0.0174928	0.0251147	0.0274361	0.00966197	0.032023	0.025304	0.0749538
ACSS2	3.31291	9.38706	6.52354	6.20736	3.24979	3.3765	2.74347	3.05434	3.39208	3.98326	3.82374	8.5818
ACSS3	0.0190783	0.0108886	0.0298046	0.0262157	0.0378578	0.0429968	0.0185193	0.0323698	0.0142493	0.0472268	0.0186589	0.022108
ACTA1	1.46745	0.531235	0.747252	0.666156	1.89832	2.50388	2.33816	2.03024	1.76696	2.94204	2.37066	0.62919
ACTA2	13.6428	4.27271	5.44922	5.32604	12.6912	17.3687	16.3188	14.7767	16.8469	21.7533	22.0687	3.4186
ACTB	588.362	290.994	310.731	345.189	746.124	900.75	810.054	745.94	882.64	1002.32	1012.01	278.244
ACTBL2	0.0483239	0.02364	0.0107847	0.0284583	0.0136987	0.0280048	0.0201034	0.026354	0.0232022	0.0410133	0.0101275	0.515982
ACTC1	0.151464	0.0447131	0.114231	0.075357	0.2591	0.233063	0.235748	0.152866	0.234067	0.271506	0.329471	0.0272355
ACTG1	622.526	256.341	214.817	315.795	924.93	688.164	651.587	661.119	732.325	720.513	720.655	253.687
ACTG2	1.18228	0.769193	0.917181	1.09959	1.68634	2.10027	1.70865	1.39107	2.07818	2.07035	2.39191	0.808357
ACTL6A	40.47	19.6759	23.1919	22.3982	31.0804	33.4944	34.4157	37.7287	35.802	34.3372	32.8507	20.0285
ACTL6B	0.0125984	0.0431419	0.0196815	0	0	0	0.0366878	0.0320632	0.0423429	0.0561354	0.0369644	0
ACTL7A	0	0	0.0210275	0	0	0.0182009	0.0195984	0	0	0	0	0
ACTL7B	0.0274174	0	0.0214161	0	0.0272027	0	0.0798422	0.034889	0	0	0.020111	0
ACTL8	0.985244	0.159713	3.02782	2.28916	0.946059	1.20529	1.32801	1.26613	1.41141	2.72469	2.11539	0.198171
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	18.2358	12.6211	11.6261	12.6228	17.8856	19.5692	18.2602	19.634	20.7071	21.2287	21.9105	11.345
ACTN2	0.421715	0.189632	0.732361	0.518024	0.270489	0.570252	0.627324	0.37944	0.443867	0.6137	0.699907	0.281365
ACTN3	0.330808	0.982546	4.3544	4.78688	0.428693	0.60252	0.697934	0.44673	0.363051	1.9171	1.74367	0.856763
ACTN4	19.5614	10.2111	11.1044	10.0049	18.6073	25.0058	20.9921	21.1927	23.3008	27.8187	26.1321	9.16888
